来源,一级分类,分类路径,文档标题,api_name,doc_id,官方文档,官方权限说明,官方描述,必填参数,Token权限,权限判定依据,探测返回码,探测消息,探测返回行数,claw_quant实现,实现位置
Tushare官方目录,ETF专题,ETF专题,ETF份额规模,etf_share_size,408,https://tushare.pro/document/2?doc_id=408,需要8000积分可以调取，具体请参阅 积分获取办法,获取沪深ETF每日份额和规模数据，能体现规模份额的变化，掌握ETF资金动向，同时提供每日净值和收盘价；数据指标是分批入库，交易所于次日早8点30左右更新上一交易日的数据；另外，涉及海外的ETF数据更新会晚一些属于正常情况。,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,ETF历史分钟行情,etf_mins,387,https://tushare.pro/document/2?doc_id=387,正式权限请参阅 权限说明,获取ETF分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,"ts_code,freq",无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(etf_mins)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,ETF专题,ETF专题,ETF基础信息,etf_basic,385,https://tushare.pro/document/2?doc_id=385,用户积8000积分可调取，具体请参阅 积分获取办法,获取国内ETF基础信息，包括了QDII。数据来源与沪深交易所公开披露信息。,,有权限,接口返回成功,0,,1,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,基金复权因子,fund_adj,199,https://tushare.pro/document/2?doc_id=199,用户积2000积分可调取，超过5000积分以上频次相对较高。具体请参阅 积分获取办法,获取基金复权因子，用于计算基金复权行情,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,ETF实时参考,rt_etf_sz_iopv,454,https://tushare.pro/document/2?doc_id=454,本接口为单独开权限的接口，跟积分多个无关。正式权限请参阅 权限说明,ETF实时净值和申购赎回数据参考，目前只提供深市,,无权限,Tushare 明确返回无访问权限,40203,抱歉，您没有接口(rt_etf_sz_iopv)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。,0,未实现,
Tushare官方目录,ETF专题,ETF专题,ETF日线行情,fund_daily,127,https://tushare.pro/document/2?doc_id=127,需要至少5000积分才可以调取，8000积分频次更高，具体请参阅 积分获取办法,获取ETF行情每日收盘后成交数据，历史超过10年,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,ETF基准指数列表,etf_index,386,https://tushare.pro/document/2?doc_id=386,用户积累8000积分可调取，具体请参阅 积分获取办法,获取ETF基准指数列表信息,,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,指数公告,idx_anns,460,https://tushare.pro/document/2?doc_id=460,需要6000积分可以调取，具体请参阅 积分获取办法,获取指数公司披露的相关公告信息，包括中证指数、国证指数、恒生指数和华证指数的及时与历史公告信息，跟踪指数最新信息和发展方向。,,有权限,接口返回成功,0,,43,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,ETF每日持仓组合(沪市）,etf_sh_cons,471,https://tushare.pro/document/2?doc_id=471,需要8000积分可以调取，具体请参阅 积分获取办法,"获取上交所场内所有ETF每日盘前披露的的一篮子组合信息,包括成分股票数量、申赎现金折溢价比例等数据",,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
Tushare官方目录,ETF专题,ETF专题,ETF每日持仓组合(深市）,etf_sz_cons,472,https://tushare.pro/document/2?doc_id=472,需要8000积分可以调取，具体请参阅 积分获取办法,"获取深交所场内所有ETF每日盘前披露的一篮子组合信息,包括成分股票数量、申赎现金折溢价比例等数据",,有权限,接口返回成功,0,,0,已实现（契约通用采集器：原始层+强类型标准表）,collectors/tushare_raw.py:CatalogRawCollector
